injectionId,authorId,split,component,collisionState,centerLabel,labelMultiplicity,labelAreaPixels,offsetIndex,drawIndex,referenceX,referenceY,raDeg,decDeg,offsetRadiusPixels,offsetRadiusArcsec,topologyRule,segmentedFraction5x5,sameLabelFraction5x5,inputF090WVegaMag,inputF150WVegaMag,inputF090WMinusF150WMag
I-54441-07-06,54441,validation,spiral,large-collision,2245,11,1321113.0,7,6,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-07-07,54441,validation,spiral,large-collision,2245,11,1321113.0,7,7,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-07-08,54441,validation,spiral,large-collision,2245,11,1321113.0,7,8,8296.547557031636,1944.9652104081833,163.3540505637124,16.783453867719736,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-54441-08-01,54441,validation,spiral,large-collision,2245,11,1321113.0,8,1,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.37961158127507,23.564999999999998,0.8146115812750745
I-54441-08-02,54441,validation,spiral,large-collision,2245,11,1321113.0,8,2,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.64971997409391,23.564999999999998,1.0847199740939102
I-54441-08-03,54441,validation,spiral,large-collision,2245,11,1321113.0,8,3,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.779611581275073,23.965,0.8146115812750745
I-54441-08-04,54441,validation,spiral,large-collision,2245,11,1321113.0,8,4,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.04971997409391,23.965,1.0847199740939102
I-54441-08-05,54441,validation,spiral,large-collision,2245,11,1321113.0,8,5,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.179611581275072,24.365,0.8146115812750745
I-54441-08-06,54441,validation,spiral,large-collision,2245,11,1321113.0,8,6,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.44971997409391,24.365,1.0847199740939102
I-54441-08-07,54441,validation,spiral,large-collision,2245,11,1321113.0,8,7,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.579611581275074,24.765,0.8146115812750745
I-54441-08-08,54441,validation,spiral,large-collision,2245,11,1321113.0,8,8,8306.344786479876,1947.5903701269021,163.35410903167596,16.783521731759222,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,25.84971997409391,24.765,1.0847199740939102
I-110491-01-01,110491,validation,spiral,large-collision,6373,13,1525723.0,1,1,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,23.391611581275072,22.576999999999998,0.8146115812750745
I-110491-01-02,110491,validation,spiral,large-collision,6373,13,1525723.0,1,2,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,23.66171997409391,22.576999999999998,1.0847199740939102
I-110491-01-03,110491,validation,spiral,large-collision,6373,13,1525723.0,1,3,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,23.791611581275074,22.977,0.8146115812750745
I-110491-01-04,110491,validation,spiral,large-collision,6373,13,1525723.0,1,4,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,24.06171997409391,22.977,1.0847199740939102
I-110491-01-05,110491,validation,spiral,large-collision,6373,13,1525723.0,1,5,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,24.191611581275072,23.377,0.8146115812750745
I-110491-01-06,110491,validation,spiral,large-collision,6373,13,1525723.0,1,6,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,24.46171997409391,23.377,1.0847199740939102
I-110491-01-07,110491,validation,spiral,large-collision,6373,13,1525723.0,1,7,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,24.591611581275075,23.777,0.8146115812750745
I-110491-01-08,110491,validation,spiral,large-collision,6373,13,1525723.0,1,8,7096.567823723086,2586.109056635618,163.35482399540928,16.77167696204162,7.5,0.23418383551428903,inside-original-collision-label,1.0,1.0,24.861719974093912,23.777,1.0847199740939102
I-110491-02-01,110491,validation,spiral,large-collision,6373,13,1525723.0,2,1,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,23.391611581275072,22.576999999999998,0.8146115812750745
I-110491-02-02,110491,validation,spiral,large-collision,6373,13,1525723.0,2,2,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,23.66171997409391,22.576999999999998,1.0847199740939102
I-110491-02-03,110491,validation,spiral,large-collision,6373,13,1525723.0,2,3,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,23.791611581275074,22.977,0.8146115812750745
I-110491-02-04,110491,validation,spiral,large-collision,6373,13,1525723.0,2,4,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.06171997409391,22.977,1.0847199740939102
I-110491-02-05,110491,validation,spiral,large-collision,6373,13,1525723.0,2,5,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.191611581275072,23.377,0.8146115812750745
I-110491-02-06,110491,validation,spiral,large-collision,6373,13,1525723.0,2,6,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.46171997409391,23.377,1.0847199740939102
I-110491-02-07,110491,validation,spiral,large-collision,6373,13,1525723.0,2,7,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.591611581275075,23.777,0.8146115812750745
I-110491-02-08,110491,validation,spiral,large-collision,6373,13,1525723.0,2,8,7096.781275039324,2595.3015899530455,163.35490056101574,16.771645560928373,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.861719974093912,23.777,1.0847199740939102
I-110491-03-01,110491,validation,spiral,large-collision,6373,13,1525723.0,3,1,7086.984045591083,2597.9267496717644,163.3548853685985,16.77155880029714,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,23.391611581275072,22.576999999999998,0.8146115812750745
I-110491-03-02,110491,validation,spiral,large-collision,6373,13,1525723.0,3,2,7086.984045591083,2597.9267496717644,163.3548853685985,16.77155880029714,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,23.66171997409391,22.576999999999998,1.0847199740939102
I-110491-03-03,110491,validation,spiral,large-collision,6373,13,1525723.0,3,3,7086.984045591083,2597.9267496717644,163.3548853685985,16.77155880029714,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,23.791611581275074,22.977,0.8146115812750745
I-110491-03-04,110491,validation,spiral,large-collision,6373,13,1525723.0,3,4,7086.984045591083,2597.9267496717644,163.3548853685985,16.77155880029714,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.06171997409391,22.977,1.0847199740939102
I-110491-03-05,110491,validation,spiral,large-collision,6373,13,1525723.0,3,5,7086.984045591083,2597.9267496717644,163.3548853685985,16.77155880029714,12.0,0.37469413682286246,inside-original-collision-label,1.0,1.0,24.191611581275072,23.377,0.8146115812750745
